neighbourhood_group_cleansed;Population;Male;Female
Charlottenburg-Wilm.        ;334.351;161.813;172.538
Friedrichshain - Kreuzberg;281.076;144.214;136.862
Lichtenberg;280.721;139.183;141.538
Marzahn - Hellersdorf;261.954;129.639;132.315
Mitte;368.122;190.949;177.173
Neukölln;328.045;163.346;164.699
Pankow;394.816;193.964;200.852
Reinickendorf;260.253;127.445;132.808
Spandau;238.278;116.656;121.622
Steglitz-Zehlendorf;302.535;142.725;159.810
Tempelhof-Schöneberg;345.024;168.748;176.276
Treptow-Köpenick;257.782;126.317;131.465
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
Spandau                      118;;;